asset_id	kategorie	quell_url	dateiname	bildbeschreibung	kuenstler_dozent
werkhalle4_78c3e4964d	kunst	https://www.idowa.de/storage/image/1/0/4/0/990401_s100_1G7IFS_0Y6dXv.jpg	kunst/kunst_stephanie_heiduk_in_der_werkhalle_4_in_furth_im_wald_di_78c3e4964d.jpg	Stephanie Heiduk in der Werkhalle 4 in Furth im Wald. Die ehemalige Art-Direktorin hat den früheren Gewerberaum zu einem Ort für Kunst, Workshops und Begegnungen umgestaltet. Am Wochenende wird die Halle zur deutsch-tschechischen Zirkus-Residenz für Künstler aus Bayern und Tschechien.	
werkhalle4_62d892ac66	residenzen	https://www.idowa.de/storage/image/8/6/3/2/992368_s100_1G9mj3_RzOIyo.jpg	residenzen/residenzen_die_werkhalle_4_wurde_zum_treffpunkt_f_r_k_nstler_und_b_62d892ac66.jpg	Die Werkhalle 4 wurde zum Treffpunkt für Künstler und Besucher aus Bayern und Tschechien.	
werkhalle4_328994ede6	kunst	https://www.idowa.de/storage/image/3/3/8/7/917833_s100_1FcLxz_kkODEm.jpg	kunst/kunst_nach_30_jahren_vielschichtigen_erfahrungen_in_der_welt__328994ede6.jpg	Nach 30 Jahren vielschichtigen Erfahrungen in der Welt der Kunst kehrte Stephanie Heiduk in ihre Heimatstadt zurück, um ihr eigenes Projekt zu starten.	
werkhalle4_14b01d737d	residenzen	https://www.idowa.de/storage/image/8/6/3/2/992368_fancybox_1G9mj3_CbQUT7.jpg	residenzen/residenzen_die_werkhalle_4_als_treffpunkt_f_r_k_nstler_und_besuche_14b01d737d.jpg	Die Werkhalle 4 als Treffpunkt für Künstler und Besucher aus Bayern und Tschechien.	Stephanie Heiduk
werkhalle4_552b0d9752	residenzen	https://www.idowa.de/storage/image/1/0/4/0/990401_fancybox_1G7IFS_BSHlO3.jpg	residenzen/residenzen_stephanie_heiduk_in_der_werkhalle_4_kreativer_ort_f_r_k_552b0d9752.jpg	Stephanie Heiduk in der Werkhalle 4; kreativer Ort für Kunst, Workshops und Begegnungen.	Stephanie Heiduk
werkhalle4_e7275561a9	architektur	https://www.idowa.de/storage/image/3/3/8/7/917833_fancybox_1FcLxz_qSOq7g.jpg	architektur/architektur_stephanie_heiduk_in_der_werkhalle_4_pressebild_zur_ents_e7275561a9.jpg	Stephanie Heiduk in der Werkhalle 4; Pressebild zur Entstehung des Kunstprojekts.	Stephanie Heiduk
